"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
"430"	TRUE	"l"	"GSM673325"	20	"GSM673328"
"431"	TRUE	"f"	NA	0	"GSM673329"
"432"	TRUE	"m"	"GSM673329"	15	"GSM673332"
"433"	TRUE	"m"	"GSM673332"	20	"GSM673335"
"434"	TRUE	"l"	"GSM673335"	20	"GSM673338"
"435"	TRUE	"f"	NA	0	"GSM673330"
"436"	TRUE	"m"	"GSM673330"	15	"GSM673333"
"437"	TRUE	"m"	"GSM673333"	20	"GSM673336"
"438"	TRUE	"l"	"GSM673336"	20	"GSM673339"
"439"	TRUE	"f"	NA	0	"GSM673331"
"440"	TRUE	"m"	"GSM673331"	15	"GSM673334"
"441"	TRUE	"m"	"GSM673334"	20	"GSM673337"
"442"	TRUE	"l"	"GSM673337"	20	"GSM673340"
"443"	TRUE	"f"	NA	0	"GSM673341"
"444"	TRUE	"m"	"GSM673341"	15	"GSM673344"
"445"	TRUE	"m"	"GSM673344"	20	"GSM673347"
"446"	TRUE	"l"	"GSM673347"	20	"GSM673350"
"447"	TRUE	"f"	NA	0	"GSM673342"
"448"	TRUE	"m"	"GSM673342"	15	"GSM673345"
"449"	TRUE	"m"	"GSM673345"	20	"GSM673348"
"450"	TRUE	"l"	"GSM673348"	20	"GSM673351"
"451"	TRUE	"f"	NA	0	"GSM673343"
"452"	TRUE	"m"	"GSM673343"	15	"GSM673346"
